모델명,변수묶음,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_모델__class_weight,param_모델__max_depth,param_모델__max_features,param_모델__min_samples_leaf,param_모델__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
랜덤포레스트,B셋,14.104194819927216,0.6903101774536112,0.31814903020858765,0.007977738643581679,balanced_subsample,12,sqrt,3,543,"{'모델__class_weight': 'balanced_subsample', '모델__max_depth': 12, '모델__max_features': 'sqrt', '모델__min_samples_leaf': 3, '모델__n_estimators': 543}",0.7571516568296272,0.6947855334995053,0.8287265717689695,0.7645420229423372,0.7613014462601098,0.047429516890362074,1
랜덤포레스트,B셋,6.5577287673950195,0.3318445555114038,0.18913978338241577,0.01878721525930268,balanced,12,sqrt,26,248,"{'모델__class_weight': 'balanced', '모델__max_depth': 12, '모델__max_features': 'sqrt', '모델__min_samples_leaf': 26, '모델__n_estimators': 248}",0.7564641831062526,0.6946429146819169,0.828671531545995,0.7637228795381764,0.7608753772180853,0.04746215476096166,2
랜덤포레스트,B셋,10.821615993976593,0.19511075043926504,0.3003527522087097,0.019769117328637644,balanced_subsample,12,log2,4,506,"{'모델__class_weight': 'balanced_subsample', '모델__max_depth': 12, '모델__max_features': 'log2', '모델__min_samples_leaf': 4, '모델__n_estimators': 506}",0.7562504121254304,0.6925232804071196,0.8276343765680312,0.7661864089084107,0.7606486195022479,0.047901369542370204,3
랜덤포레스트,B셋,15.716784000396729,0.19742496153995898,0.3854180574417114,0.03786091815480193,balanced_subsample,,sqrt,19,587,"{'모델__class_weight': 'balanced_subsample', '모델__max_depth': None, '모델__max_features': 'sqrt', '모델__min_samples_leaf': 19, '모델__n_estimators': 587}",0.7567943015538,0.6995400982674959,0.8244347253519632,0.7565049532798154,0.7593185196132686,0.04423761900442096,4
랜덤포레스트,B셋,7.779610276222229,0.283961452156394,0.21381765604019165,0.004088569386047871,balanced,12,log2,22,360,"{'모델__class_weight': 'balanced', '모델__max_depth': 12, '모델__max_features': 'log2', '모델__min_samples_leaf': 22, '모델__n_estimators': 360}",0.7550646440855406,0.6877035908931974,0.8271040065188722,0.7669600525957422,0.7592080735233381,0.049497499786815335,5
랜덤포레스트,B셋,11.466161668300629,0.14066097431122945,0.3826567530632019,0.03258762018858837,,30,log2,10,545,"{'모델__class_weight': None, '모델__max_depth': 30, '모델__max_features': 'log2', '모델__min_samples_leaf': 10, '모델__n_estimators': 545}",0.7550536968863744,0.6992666162820556,0.8251177338864665,0.7538062430384744,0.7583110725233426,0.04466621150278032,6
랜덤포레스트,B셋,12.286611258983612,0.24218113803218008,0.3625427484512329,0.025960633908818878,balanced_subsample,30,sqrt,16,306,"{'모델__class_weight': 'balanced_subsample', '모델__max_depth': 30, '모델__max_features': 'sqrt', '모델__min_samples_leaf': 16, '모델__n_estimators': 306}",0.7572242154996873,0.6982010650287225,0.8268182238225164,0.7507303343636773,0.7582434596786509,0.04573038744472699,7
랜덤포레스트,B셋,40.602630972862244,0.8752683697638473,0.36179661750793457,0.059338780795323925,,12,0.5,29,566,"{'모델__class_weight': None, '모델__max_depth': 12, '모델__max_features': 0.5, '모델__min_samples_leaf': 29, '모델__n_estimators': 566}",0.7509164644809706,0.6998637100720781,0.8235386618050975,0.7557550247089079,0.7575184652667636,0.043958597806618115,8
랜덤포레스트,B셋,6.954881846904755,0.09342346405130905,0.2121759057044983,0.028541615460507735,balanced_subsample,30,sqrt,9,234,"{'모델__class_weight': 'balanced_subsample', '모델__max_depth': 30, '모델__max_features': 'sqrt', '모델__min_samples_leaf': 9, '모델__n_estimators': 234}",0.7575601464017095,0.7036177680628122,0.8257498426969019,0.742345233500792,0.7573182476655539,0.04413296493630244,9
랜덤포레스트,B셋,23.263578474521637,2.220930133728994,0.3403280973434448,0.05243797375964906,balanced_subsample,20,0.3,29,387,"{'모델__class_weight': 'balanced_subsample', '모델__max_depth': 20, '모델__max_features': 0.3, '모델__min_samples_leaf': 29, '모델__n_estimators': 387}",0.7533500875215728,0.7004316374218728,0.8253876911049892,0.7465421700222005,0.7564278965176588,0.04471642539047761,10
랜덤포레스트,B셋,31.35238766670227,0.48763649248018004,0.4534253478050232,0.004299995480458348,,,0.3,20,414,"{'모델__class_weight': None, '모델__max_depth': None, '모델__max_features': 0.3, '모델__min_samples_leaf': 20, '모델__n_estimators': 414}",0.7544518304790957,0.7052085068521612,0.8238216722153765,0.7409207937704837,0.7561007008292793,0.04303862719995435,11
랜덤포레스트,B셋,57.77764308452606,20.738660222153886,0.42982298135757446,0.09585149645899897,balanced_subsample,20,0.5,37,559,"{'모델__class_weight': 'balanced_subsample', '모델__max_depth': 20, '모델__max_features': 0.5, '모델__min_samples_leaf': 37, '모델__n_estimators': 559}",0.7510302869322114,0.6992634262026556,0.8225457309966684,0.7503061803709543,0.7557864061256224,0.043887094517392096,12
