fold,auc,n_games,n_rows,games
1,0.7043,12,27899,APB Reloaded · Assassin's Creed III Remastered · Grand Theft Auto III – The Definitive Edition · Infection Free Zone · Just Cause 4 Reloaded · Kane & Lynch 2: Dog Days · Kindergarten · OUTRIDERS · Quake · Resident Evil 6 · World War 3 · Yakuza Kiwami
2,0.7463,12,27976,Forts · Retrowave · Sonic Forces · Sticky Business · Tales of ARISE · The Room Three · The Texas Chain Saw Massacre · TheoTown · WEBFISHING · War Robots · Watch Dogs: Legion · Wolcen: Lords of Mayhem
3,0.7174,12,27917,Call of Duty: Modern Warfare 3 (2011) · ENDLESS Space 2 · Feed and Grow: Fish · Garten of Banban · Halls of Torment · Hitman: Absolution · LEGO MARVEL's Avengers · Marvel's Avengers - The Definitive Edition · Planet Coaster 2 · We Were Here Forever · Who's Your Daddy?! · Yoku's Island Express
4,0.8166,12,27905,"Besiege · Farming Simulator 19 · Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator · Half-Life: Blue Shift · Half-Life: Source · Kingdom: Classic · Northgard: Definitive Edition · Rusty Lake Paradise · Temtem · Thronefall · Tom Clancy's Ghost Recon: Future Soldier · Trailmakers"
5,0.7597,12,27961,ATLAS · Assassin's Creed Mirage · BATTLETECH · Beat Saber · Catan Universe · DJMAX RESPECT V · Griftlands · Men of War: Assault Squad 2 · Pseudoregalia · Space Hulk: Deathwing Enhanced Edition · Street Fighter V · We Were Here Expeditions: The FriendShip
