game,appid,genre_group,era,grade,release_year,game_age_days,churn_rate,n
APB Reloaded,113400,멀티/경쟁,S1 ~2016,평가나쁨,2011,4978.837361111111,0.5859269282814614,739
ATLAS,834910,멀티/경쟁,S2 2017-18,평가나쁨,2018,2413.872175925926,0.5812220566318927,671
Assassin's Creed III Remastered,911400,싱글 서사,S3 2019-22,평가나쁨,2019,2346.9019560185184,0.5185315919519944,2833
Assassin's Creed Mirage,3035570,싱글 서사,S4 2023-25,대체로긍정,2024,322.3541203703704,0.4097902097902098,5005
BATTLETECH,637090,멀티/경쟁,S2 2017-18,매우긍정,2018,2681.2094502314812,0.24508426966292135,1424
Beat Saber,620980,멀티/경쟁,S3 2019-22,압도적긍정,2019,2679.6824421296296,0.2656185353744311,2417
Besiege,346010,멀티/경쟁,S3 2019-22,압도적긍정,2020,3825.2566550925926,0.41228070175438597,3306
Call of Duty: Modern Warfare 3 (2011),115300,협동,S1 ~2016,매우긍정,2011,5030.961875,0.4600107353730542,1863
Catan Universe,544730,멀티/경쟁,S2 2017-18,평가나쁨,2017,3087.444253472222,0.39923747276688454,1836
DJMAX RESPECT V,960170,멀티/경쟁,S3 2019-22,매우긍정,2020,1922.7059780092593,0.1836488812392427,5810
ENDLESS Space 2,392110,멀티/경쟁,S2 2017-18,매우긍정,2017,3049.301516203704,0.3492252681764005,839
Farming Simulator 19,787860,협동,S2 2017-18,매우긍정,2018,2465.8142824074075,0.18987908643081056,2233
Feed and Grow: Fish,429050,전략/시뮬,S1 ~2016,대체로긍정,2016,3502.6139293981482,0.37786259541984735,2620
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",605740,멀티/경쟁,S4 2023-25,매우긍정,2023,2604.3090740740745,0.34009269988412516,1726
Forts,410900,멀티/경쟁,S2 2017-18,매우긍정,2017,3058.0460069444443,0.19386281588447654,2770
Garten of Banban,2232840,싱글 서사,S4 2023-25,평가나쁨,2023,964.998738425926,0.8291093410572049,1381
Grand Theft Auto III – The Definitive Edition,1546970,싱글 서사,S4 2023-25,평가나쁨,2023,968.1097569444444,0.621676067687349,2482
Griftlands,601840,액션/캐주얼,S3 2019-22,매우긍정,2021,1856.0686516203705,0.5634328358208955,536
Half-Life: Blue Shift,130,액션/캐주얼,S1 ~2016,매우긍정,2001,8862.5146875,0.8479302832244009,2295
Half-Life: Source,280,액션/캐주얼,S1 ~2016,평가나쁨,2004,7763.143200231481,0.7346311475409836,976
Halls of Torment,2218750,싱글 서사,S4 2023-25,압도적긍정,2024,843.2136516203703,0.34527687296416937,3070
Hitman: Absolution,203140,액션/캐주얼,S1 ~2016,매우긍정,2012,4654.605515046296,0.4749279538904899,6940
Infection Free Zone,1465460,전략/시뮬,S4 2023-25,대체로긍정,2024,482.6902893518519,0.21657250470809794,3717
Just Cause 4 Reloaded,517630,싱글 서사,S2 2017-18,평가나쁨,2018,2447.998425925926,0.4259072580645161,1984
Kane & Lynch 2: Dog Days,28000,협동,S1 ~2016,평가나쁨,2010,5511.811608796296,0.6747572815533981,412
Kindergarten,589590,싱글 서사,S2 2017-18,압도적긍정,2017,2953.9677604166664,0.7138625592417062,1688
Kingdom: Classic,368230,전략/시뮬,S1 ~2016,매우긍정,2015,3596.8811574074075,0.6593406593406593,819
LEGO MARVEL's Avengers,405310,싱글 서사,S1 ~2016,매우긍정,2016,3499.97119212963,0.46802030456852795,985
Marvel's Avengers - The Definitive Edition,997070,협동,S3 2019-22,평가나쁨,2020,1796.10625,0.5473411154345007,771
Men of War: Assault Squad 2,244450,멀티/경쟁,S1 ~2016,매우긍정,2014,4116.695758101852,0.16282527881040892,2690
Northgard: Definitive Edition,466560,멀티/경쟁,S2 2017-18,매우긍정,2018,3109.0354224537036,0.2997410444540354,4634
