game,appid,genre_group,era,grade,release_year,game_age_days,churn_rate,n
OUTRIDERS,680420,협동,S3 2019-22,평가나쁨,2021,1612.9767824074074,0.3628230616302187,1006
Planet Coaster 2,2688950,전략/시뮬,S4 2023-25,평가나쁨,2024,274.031875,0.1426403641881639,4613
Pseudoregalia,2365810,싱글 서사,S4 2023-25,압도적긍정,2023,738.4446064814815,0.7293702497285559,3684
Quake,2310,멀티/경쟁,S1 ~2016,압도적긍정,2007,6606.5664004629625,0.40531829170024175,1241
Resident Evil 6,221040,협동,S1 ~2016,대체로긍정,2013,4578.975578703704,0.38014135094427065,8631
Retrowave,1239690,멀티/경쟁,S3 2019-22,압도적긍정,2022,1976.8234953703702,0.6291946308724832,596
Rusty Lake Paradise,744190,싱글 서사,S2 2017-18,압도적긍정,2018,2806.920439814815,0.7649964714184898,1417
Sonic Forces,637100,싱글 서사,S2 2017-18,평가나쁨,2017,2856.2094097222225,0.5727040816326531,784
Space Hulk: Deathwing Enhanced Edition,816090,협동,S2 2017-18,대체로긍정,2018,2649.8470833333336,0.5293413173652695,835
Sticky Business,2303350,전략/시뮬,S4 2023-25,매우긍정,2023,737.57125,0.45471349353049906,1623
Street Fighter V,310950,액션/캐주얼,S1 ~2016,평가나쁨,2016,3460.846724537037,0.42099898063200814,981
Tales of ARISE,740130,싱글 서사,S4 2023-25,매우긍정,2023,667.8143402777778,0.5673614641586172,1967
Temtem,745920,멀티/경쟁,S3 2019-22,매우긍정,2022,2035.536921296296,0.4924554183813443,729
The Room Three,456750,싱글 서사,S2 2017-18,압도적긍정,2018,2489.4775925925924,0.7905405405405406,1184
The Texas Chain Saw Massacre,1433140,멀티/경쟁,S4 2023-25,평가나쁨,2023,679.3892013888889,0.3415233415233415,2442
TheoTown,1084020,전략/시뮬,S3 2019-22,매우긍정,2019,2334.6915972222223,0.1767478397486253,1273
Thronefall,2239150,전략/시뮬,S4 2023-25,압도적긍정,2024,713.2105324074074,0.38549920760697304,2524
Tom Clancy's Ghost Recon: Future Soldier,212630,협동,S1 ~2016,평가나쁨,2012,4777.066736111111,0.5714285714285714,427
Trailmakers,585420,멀티/경쟁,S3 2019-22,매우긍정,2019,2782.135752314815,0.0973749816688664,6819
WEBFISHING,3146520,멀티/경쟁,S4 2023-25,압도적긍정,2024,266.2708101851852,0.3251798561151079,8340
War Robots,767560,멀티/경쟁,S2 2017-18,평가나쁨,2018,2701.4680497685185,0.254925516578568,4162
Watch Dogs: Legion,2239550,멀티/경쟁,S4 2023-25,평가나쁨,2023,933.7610011574075,0.4868073878627968,2274
We Were Here Expeditions: The FriendShip,2296990,협동,S4 2023-25,매우긍정,2023,705.9196412037037,0.8875482625482626,2072
We Were Here Forever,1341290,협동,S3 2019-22,매우긍정,2022,1195.2794502314814,0.7523524379811805,2338
Who's Your Daddy?!,427730,멀티/경쟁,S1 ~2016,대체로긍정,2016,3381.79931712963,0.6593511450381679,2096
Wolcen: Lords of Mayhem,424370,싱글 서사,S3 2019-22,평가나쁨,2020,3443.267766203704,0.5971479500891266,561
World War 3,674020,멀티/경쟁,S3 2019-22,평가나쁨,2022,948.0464583333334,0.6794150731158605,889
Yakuza Kiwami,834530,싱글 서사,S3 2019-22,매우긍정,2019,2360.136215277778,0.6082564778216952,2277
Yoku's Island Express,334940,싱글 서사,S2 2017-18,압도적긍정,2018,2709.975127314815,0.7880299251870324,401
